x0      ortho_residual 
-7.88251913   0.57963962 
-6.94369690   -0.18960901 
-9.30825186   -0.03184700 
-8.57949120   0.00364657 
-9.92796871   -0.56406562 
-8.83973180   0.10190477 
-9.25324226   0.29665635 
-8.96593407   -0.58974377 
-7.28331437   0.04553650 
-10.32598653   1.04705852 
-9.56743013   -0.13647275 
-9.77394414   0.15034087 
-9.24823331   0.13588066 
-8.52620206   0.01682878 
-11.13796445   0.00042075 
-7.73421491   -0.00867276 
-7.26695323   0.04124679 
-7.88701993   -0.35775999 
-8.11810639   0.60721818 
-10.39051499   -0.25089477 
-9.75576812   -0.40121491 
-9.81274231   -0.12306720 
-7.74773926   0.30706566 
-8.27533737   0.10436564 
-7.25490011   1.20742718 
-7.67548462   -0.10673012 
-8.22174860   -0.38826960 
-7.88649906   0.13407250 
-7.79070686   -0.29899891 
-7.22454227   0.33006046 
-8.29518941   0.56409215 
-9.69343859   0.11037179 
-8.08499108   0.25654984 
-7.93516187   -0.11803623 
-8.41907753   0.68972912 
-9.01501569   0.17616364 
-9.20171040   -0.25373928 
-7.66857031   0.00617992 
-8.06128345   0.08014684 
-8.18558135   -0.05436025 
-10.75245162   -0.25393226 
-8.50277053   0.31988014 
-9.23141296   0.37560766 
-7.75159486   -0.26232014 
-7.57902778   -0.30493036 
-7.74387403   0.48741444 
-9.26963037   1.37594102 
-9.97693166   -0.23470817 
-10.19611455   0.13682426 
-9.61249264   -0.12104819 
-9.89636271   -0.03012840 
-9.10036311   -0.49716152 
-7.14775744   0.36788377 
-10.00692057   0.10545298 
-7.75993925   1.12056906 
-9.69846280   0.94513517 
-7.26901933   -0.01942749 
-7.01295599   0.26457300 
-7.89396187   -0.00654156 
-7.43699326   0.57080731 
-7.60090399   -0.36445526 
-9.00979997   0.06935689 
-8.45438436   0.29723714 
-7.97974616   0.29204475 
-6.91111725   -0.00675088 
-8.04918448   0.22823261 
-9.03392205   -0.01675937 
-7.03559788   0.25209927 
-7.39631280   0.96362469 
-8.74210385   0.16868708 
-7.46128470   -0.03304427 
-8.61113982   -0.31030280 
-7.89319605   -0.07464479 
-8.86781924   1.58815830 
-8.57349597   0.28595028 
-8.16269806   0.05217418 
-7.94890063   -0.06060356 
-7.70719328   -0.17419990 
-7.43883505   -0.13503660 
-8.16883356   -0.41484702 
-7.92683281   -0.28340444 
-8.74706152   -0.47631875 
-8.49801626   -0.12338861 
-7.70383231   -0.21516080 
-10.10534248   0.08486733 
-8.81605246   0.02608248 
-8.37763790   -0.16715677 
-8.06195086   0.24028650 
-7.75717421   -0.08646129 
-7.00369255   1.03241085 
-9.15762236   0.17600642 
-9.48097471   -0.00234632 
-7.20406274   -0.21062838 
-7.59130681   -0.05177481 
-8.51193922   0.08449946 
-6.66914012   0.17681132 
-6.94957368   0.37067169 
-7.87708829   0.07591261 
-7.71336395   -0.24852670 
-8.30801699   0.22340271 
-8.23898455   -0.22008566 
-8.95155440   0.08242541 
-7.27742205   -0.03949585 
-9.07382245   0.13961075 
-10.18087970   -0.01200730 
-7.67152262   -0.49551222 
-7.83668031   -0.46765463 
-8.75633120   -0.02221886 
-8.74871610   0.19081529 
-7.40270536   -0.06690698 
-8.30708483   -0.19031577 
-7.74458856   0.17164043 
-6.88104289   0.69675387 
-8.61567860   -0.27862850 
-8.64432224   0.23791275 
-8.50152939   0.25325656 
-7.98155080   -0.07053922 
-8.51321913   -0.15415908 
-10.63475416   0.33025415 
