x0      ortho_residual 
-9.05273771   -1.08795272 
-7.30998894   -0.55851309 
-9.77314072   0.12381570 
-8.17226443   0.40977107 
-9.94060252   0.04043964 
-8.75694187   -0.06714704 
-9.56239800   0.17765477 
-9.27549600   -0.29328480 
-7.09392630   0.09274354 
-11.16962636   -0.98965536 
-9.43550480   0.18755217 
-12.03896877   0.48083474 
-8.62779586   -0.15898555 
-9.13705895   -0.45223843 
-10.74179708   0.46401261 
-7.17316078   0.74296433 
-7.47460556   -0.02612723 
-7.64026614   -0.35539528 
-9.56536641   0.14760170 
-10.51354183   -0.15083822 
-9.82572301   -0.55645056 
-10.44680719   -1.10512783 
-7.15086060   0.25303901 
-8.15802332   0.26905208 
-8.11224418   -0.06405715 
-7.68518350   -0.11913447 
-8.53160303   -0.65702936 
-8.70733387   1.42058937 
-7.74160091   -0.20919530 
-7.72284256   -0.16449466 
-6.81664202   0.01706088 
-10.72325725   0.51498780 
-9.22994126   -1.52549929 
-7.56318876   0.28879662 
-9.33594417   -0.54103291 
-9.00192711   0.00932307 
-8.21318526   0.33317911 
-8.77474980   0.02344251 
-7.83408431   0.37795492 
-7.68394145   0.47972104 
-10.60597788   -0.53541827 
-7.95201724   -0.29607257 
-10.36743391   -1.12383587 
-8.02810307   -0.21205235 
-7.67620010   -0.43368208 
-8.29025717   0.78193244 
-10.62232506   -0.27694540 
-10.71216355   -1.09740173 
-10.46774629   0.51289767 
-9.26273693   -0.65502005 
-10.57358313   -0.49010263 
-8.89401241   0.06946264 
-7.55121866   -0.13603971 
-8.68431359   0.93374096 
-8.07064269   0.71693968 
-9.91647033   -0.08894470 
-7.57626650   -0.19860074 
-7.47990212   -0.05644569 
-7.32766097   0.33111350 
-7.83071887   0.24697579 
-7.34323211   0.08885716 
-9.20777247   -0.13885971 
-8.51520228   -0.85514269 
-7.19863881   -0.12125422 
-6.93624673   -0.12977469 
-7.41793706   1.41735310 
-8.60888583   -0.04187661 
-7.16588725   -0.04331963 
-8.52705238   -0.26232156 
-8.71269631   -0.19421480 
-7.73728543   -0.45923365 
-8.86639501   -0.58621407 
-7.85155813   -0.45820240 
-10.23769469   0.01462528 
-8.74132474   -0.52704515 
-8.16025373   0.97439295 
-8.01672363   -0.43636654 
-8.10152160   -1.17932068 
-7.40977283   0.00076581 
-7.87839286   -0.08524871 
-7.28051200   -0.15896901 
-8.21943717   -0.52212340 
-8.45130374   -0.05991797 
-6.11964066   1.39085430 
-9.76712896   0.00799061 
-8.33471916   0.85387608 
-8.29136223   -0.84641918 
-8.06878004   -0.03728666 
-7.88034564   0.18419588 
-7.54855855   0.30949467 
-9.48794216   0.03024583 
